,0,1
0,48.90331,-123.08391
1,48.9065,-123.08783
2,48.91735,-123.10142
3,48.92299000000001,-123.10971
4,48.92421,-123.11151
5,48.9273,-123.1161
6,48.93036,-123.12064
7,48.93346,-123.12527
8,48.93643,-123.12972
9,48.93958,-123.13447
10,48.94346,-123.1403
11,48.9462,-123.1444
12,48.94926,-123.14897
13,48.95239,-123.15359
14,48.95551,-123.15822
15,48.96003,-123.16481
16,48.96322,-123.16946000000002
17,48.9687,-123.17741
18,48.97193,-123.18213
19,48.97495,-123.18678
20,48.9781,-123.19166
21,48.98348,-123.2
22,48.98667,-123.20496
23,48.98983,-123.20986
24,48.99263,-123.21422
25,48.99668,-123.22056
26,49.00142,-123.22825
27,49.00422,-123.23316
28,49.00711,-123.23826
29,49.00985,-123.24307
30,49.01272,-123.24811
31,49.01553,-123.25302
32,49.01834,-123.25791
33,49.02113,-123.26281000000002
34,49.02618,-123.27173
35,49.02907,-123.27648
36,49.03745,-123.28974
37,49.04183,-123.29624
38,49.04568,-123.30201
39,49.05334000000001,-123.31364
40,49.05658,-123.31868
41,49.06229,-123.32622
